2025-06-20 14:38:46 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %26
2025-06-20 14:38:56 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %21
2025-06-20 14:39:07 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %21
2025-06-20 14:39:17 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %21
2025-06-20 14:39:27 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:39:38 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:40:03 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:40:15 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:40:28 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:40:42 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:40:53 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:41:07 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:41:32 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:41:46 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:41:56 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:42:07 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:42:18 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:43:36 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:43:47 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %24
2025-06-20 14:43:58 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %22
2025-06-20 14:44:08 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:44:18 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:44:29 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %23
2025-06-20 14:44:39 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %24
2025-06-20 14:44:49 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %25
2025-06-20 14:45:00 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %24
2025-06-20 14:45:10 - Oda no: 1, Termometre no: 1, Sıcaklık: 27.0 derece, Nem: %28
2025-06-20 14:45:21 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %26
2025-06-20 14:45:31 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %25
2025-06-20 14:45:41 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:45:52 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:46:02 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:46:12 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:46:23 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:46:33 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %25
2025-06-20 14:46:44 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %26
2025-06-20 14:46:54 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %25
2025-06-20 14:47:04 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:47:16 - Oda no: 1, Termometre no: 1, Sıcaklık: 26.0 derece, Nem: %24
2025-06-20 14:47:26 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:47:36 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:47:47 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:47:57 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:48:08 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:48:18 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:48:28 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:48:39 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:48:49 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:48:59 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:49:10 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:49:20 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:49:31 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:49:41 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:49:51 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:50:02 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:50:12 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:50:22 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:50:33 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:50:43 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:50:54 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
